Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-03,539.91,543.5,537.11,540.31,1717000,0,0
2015-06-04,537.76,540.59,534.32,536.7,1348300,0,0
2015-06-05,536.35,537.2,532.52,533.33,1388200,0,0
2015-06-08,533.31,534.12,526.24,526.83,1520600,0,0
2015-06-09,527.56,529.2,523.01,526.69,1455300,0,0
2015-06-10,529.36,538.36,529.35,536.69,1815000,0,0
2015-06-11,538.42,538.98,533.02,534.61,1217500,0,0
2015-06-12,531.6,533.12,530.16,532.33,955800,0,0
2015-06-15,528.0,528.3,524.0,527.2,1632700,0,0
2015-06-16,528.4,529.64,525.56,528.15,1071800,0,0
2015-06-17,529.37,530.98,525.1,529.26,1294200,0,0
2015-06-18,531.0,538.15,530.79,536.73,1833100,0,0
2015-06-19,537.21,538.25,533.01,536.69,1893500,0,0
2015-06-22,539.59,543.74,537.53,538.19,1250300,0,0
2015-06-23,539.64,541.5,535.25,540.48,1197500,0,0
2015-06-24,540.0,540.0,535.66,537.84,1286600,0,0
2015-06-25,538.87,540.9,535.23,535.23,1335700,0,0
2015-06-26,537.26,537.76,531.35,531.69,2109100,0,0
2015-06-29,525.01,528.61,520.54,521.52,1937800,0,0
2015-06-30,526.02,526.25,520.5,520.51,2217200,0,0
2015-07-01,524.73,525.69,518.23,521.84,1961000,0,0
2015-07-02,521.08,524.65,521.08,523.4,1235900,0,0
2015-07-06,519.5,525.25,519.0,522.86,1280500,0,0
2015-07-07,523.13,526.18,515.18,525.02,1597200,0,0
2015-07-08,521.05,522.73,516.11,516.83,1296700,0,0
2015-07-09,523.12,523.77,520.35,520.68,1842300,0,0
2015-07-10,526.29,532.56,525.55,530.13,1956700,0,0
2015-07-13,532.88,547.11,532.4,546.55,2206500,0,0
2015-07-14,546.76,565.85,546.71,561.1,3244100,0,0
2015-07-15,560.13,566.5,556.79,560.22,1784600,0,0
2015-07-16,565.12,580.68,565.0,579.85,4768300,0,0
2015-07-17,649.0,674.47,645.0,672.93,11164900,0,0
2015-07-20,659.24,668.88,653.01,663.02,5860900,0,0
2015-07-21,655.21,673.0,654.3,662.3,3377200,0,0
2015-07-22,660.89,678.64,659.0,662.1,3929300,0,0
2015-07-23,661.27,663.63,641.0,644.28,3029100,0,0
2015-07-24,647.0,648.17,622.52,623.56,3625700,0,0
2015-07-27,621.0,634.3,620.5,627.26,2675400,0,0
2015-07-28,632.83,632.83,623.31,628.0,1727300,0,0
2015-07-29,628.8,633.36,622.65,631.93,1575100,0,0
2015-07-30,630.0,635.22,622.05,632.59,1474200,0,0
2015-07-31,631.38,632.91,625.5,625.61,1706100,0,0
2015-08-03,625.34,633.06,625.34,631.21,1304500,0,0
2015-08-04,628.42,634.81,627.16,629.25,1490900,0,0
2015-08-05,634.33,647.86,633.16,643.78,2334300,0,0
2015-08-06,645.0,645.38,632.25,642.68,1572600,0,0
2015-08-07,640.23,642.68,629.71,635.3,1403900,0,0
2015-08-10,639.48,643.44,631.25,633.73,1809200,0,0
2015-08-11,669.2,674.9,654.27,660.78,5029200,0,0
2015-08-12,663.08,665.0,652.29,659.56,2936700,0,0
2015-08-13,659.32,664.5,651.66,656.45,1810700,0,0
2015-08-14,655.01,659.85,652.66,657.12,1072100,0,0
2015-08-17,656.8,661.38,651.24,660.87,1051700,0,0
2015-08-18,661.9,664.0,653.46,656.13,1456100,0,0
2015-08-19,656.6,667.0,654.19,660.9,2134100,0,0
2015-08-20,655.46,662.99,642.9,646.83,2855300,0,0
2015-08-21,639.78,640.05,612.33,612.48,4265200,0,0
2015-08-24,573.0,599.33,565.05,589.61,5770300,0,0
2015-08-25,614.91,617.45,581.11,582.06,3538000,0,0
2015-08-26,610.35,631.71,599.05,628.62,4235900,0,0
2015-08-27,639.4,643.59,622.0,637.61,3491300,0,0
