Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-27,20.28,21.32,20.21,21.22,10808300,0.0,0
2015-05-28,21.22,21.58,21.18,21.51,8191400,0.0,0
2015-05-29,21.51,21.65,21.47,21.5,8379200,0.0,0
2015-06-01,21.64,21.96,21.5,21.75,9316500,0.0,0
2015-06-02,21.61,21.73,21.3,21.32,5607600,0.0,0
2015-06-03,21.38,21.54,21.05,21.09,6269700,0.0,0
2015-06-04,20.96,21.53,20.96,21.46,8092800,0.0,0
2015-06-05,21.4,21.73,21.17,21.63,7833000,0.0,0
2015-06-08,21.56,21.71,20.89,21.13,8570300,0.0,0
2015-06-09,21.15,21.4,21.11,21.24,6422200,0.0,0
2015-06-10,20.99,21.12,20.75,20.86,13236500,0.0,0
2015-06-11,20.86,21.23,20.86,21.09,7076300,0.0,0
2015-06-12,20.95,21.08,20.46,20.51,8093200,0.0,0
2015-06-15,20.41,20.57,20.25,20.47,7663700,0.0,0
2015-06-16,20.43,20.76,20.23,20.73,6422300,0.0,0
2015-06-17,20.72,21.09,20.67,20.97,5838600,0.0,0
2015-06-18,21.14,21.45,21.09,21.32,7485100,0.0,0
2015-06-19,21.32,21.49,21.06,21.25,8891400,0.0,0
2015-06-22,21.29,21.41,20.84,21.16,12855900,0.0,0
2015-06-23,21.2,21.37,20.45,20.62,10351600,0.0,0
2015-06-24,20.59,20.7,20.32,20.42,6334200,0.0,0
2015-06-25,20.42,20.7,20.42,20.57,8761500,0.0,0
2015-06-26,20.41,20.42,20.07,20.15,10532400,0.0,0
2015-06-29,19.92,20.12,19.52,19.55,9793100,0.0,0
2015-06-30,19.67,19.75,19.4,19.54,7897900,0.0,0
2015-07-01,20.03,20.31,19.65,19.82,7572300,0.0,0
2015-07-02,19.81,19.97,19.72,19.84,3644100,0.0,0
2015-07-06,19.68,19.95,19.45,19.6,5369400,0.0,0
2015-07-07,19.48,19.56,18.62,19.23,14856300,0.0,0
2015-07-08,19.12,19.24,18.94,19.09,8312300,0.0,0
2015-07-09,19.39,19.48,18.74,18.86,8939700,0.0,0
2015-07-10,19.1,19.37,19.05,19.19,5417700,0.0,0
2015-07-13,19.39,19.42,19.19,19.32,5311800,0.0,0
2015-07-14,19.35,19.37,19.07,19.33,6230400,0.0,0
2015-07-15,19.28,19.4,19.02,19.19,6643300,0.0,0
2015-07-16,19.31,19.62,19.24,19.62,7071200,0.0,0
2015-07-17,19.55,19.57,19.25,19.5,5509300,0.0,0
2015-07-20,19.5,19.58,19.09,19.14,4710300,0.0,0
2015-07-21,19.1,19.5,19.1,19.23,3743000,0.0,0
2015-07-22,19.09,19.09,18.63,18.86,8911800,0.0,0
2015-07-23,18.9,19.38,18.86,19.09,4247900,0.0,0
2015-07-24,19.23,19.25,18.79,18.87,4721100,0.0,0
2015-07-27,18.7,18.98,18.55,18.76,4810500,0.0,0
2015-07-28,18.81,19.3,18.62,19.17,4957700,0.0,0
2015-07-29,19.13,19.56,19.05,19.4,5817000,0.0,0
2015-07-30,19.36,19.65,19.36,19.45,4754500,0.0,0
2015-07-31,19.53,19.54,19.27,19.39,5458500,0.0,0
2015-08-03,19.54,19.73,19.29,19.72,9928300,0.0,0
2015-08-04,19.65,19.85,19.57,19.79,6502500,0.0,0
2015-08-05,20.28,20.3,19.96,20.0,5865700,0.0,0
2015-08-06,19.95,20.09,19.54,19.87,16391900,0.0,0
2015-08-07,21.82,22.71,21.26,22.33,35131200,0.0,0
2015-08-10,22.17,23.27,22.04,23.11,16557600,0.0,0
2015-08-11,22.77,23.21,22.77,22.99,10875200,0.0,0
2015-08-12,22.62,23.21,22.62,23.05,9601200,0.0,0
2015-08-13,23.08,23.13,22.8,22.85,6922100,0.0,0
2015-08-14,22.83,23.01,22.7,22.87,5366300,0.0,0
2015-08-17,22.83,22.83,22.45,22.73,6847000,0.0,0
2015-08-18,22.66,22.81,22.35,22.52,7177100,0.098,0
2015-08-19,22.49,22.75,22.19,22.43,6231200,0.0,0
2015-08-20,22.18,22.29,21.52,21.62,10673300,0.0,0
2015-08-21,21.47,21.83,20.93,20.95,9566600,0.0,0
2015-08-24,19.78,21.3,19.52,20.21,17057100,0.0,0
2015-08-25,21.1,21.17,19.79,19.79,15567100,0.0,0
2015-08-26,20.43,21.3,20.28,21.28,15374400,0.0,0
2015-08-27,21.51,22.09,21.38,22.08,11594100,0.0,0
2015-08-28,22.08,22.32,21.93,22.18,8023600,0.0,0
2015-08-31,22.07,22.23,21.85,21.94,5483800,0.0,0
2015-09-01,21.3,21.66,20.88,21.04,8835200,0.0,0
2015-09-02,21.61,21.68,21.25,21.67,8601100,0.0,0
2015-09-03,21.99,22.1,21.69,21.73,6563900,0.0,0
2015-09-04,21.36,21.7,21.21,21.22,7199300,0.0,0
2015-09-08,21.74,22.22,21.65,22.13,5961200,0.0,0
2015-09-09,22.2,22.38,21.64,21.69,7234800,0.0,0
2015-09-10,21.56,22.31,21.47,22.03,8926900,0.0,0
2015-09-11,21.79,22.25,21.7,22.1,7539600,0.0,0
2015-09-14,22.21,22.28,22.02,22.14,4811500,0.0,0
2015-09-15,22.15,22.5,22.08,22.38,8199400,0.0,0
2015-09-16,22.35,22.67,22.18,22.54,4337700,0.0,0
2015-09-17,22.93,23.14,22.7,22.75,6717800,0.0,0
2015-09-18,22.43,22.92,22.3,22.73,8160300,0.0,0
2015-09-21,22.75,23.01,22.64,22.96,7046000,0.0,0
2015-09-22,22.46,22.62,22.22,22.34,5708900,0.0,0
2015-09-23,22.35,22.58,22.27,22.44,4040800,0.0,0
2015-09-24,22.31,23.11,21.95,22.87,9561000,0.0,0
2015-09-25,23.16,23.49,22.81,23.04,9242300,0.0,0
2015-09-28,23.04,23.18,22.59,22.74,9889600,0.0,0
2015-09-29,22.98,23.17,22.66,23.14,9518400,0.0,0
2015-09-30,23.35,24.08,23.21,24.05,13909500,0.0,0
2015-10-01,24.05,24.12,22.9,23.58,12232400,0.0,0
2015-10-02,23.46,24.2,23.21,24.2,9653600,0.0,0
2015-10-05,24.36,25.11,24.23,24.8,12050600,0.0,0
2015-10-06,24.54,25.23,24.44,25.13,11330400,0.0,0
2015-10-07,25.18,25.64,24.77,25.39,7753800,0.0,0
2015-10-08,25.28,25.6,24.85,25.54,11501700,0.0,0
2015-10-09,25.4,25.64,24.96,25.44,10581200,0.0,0
2015-10-12,25.47,25.86,25.28,25.71,5689700,0.0,0
2015-10-13,25.51,25.92,25.42,25.76,7461100,0.0,0
2015-10-14,25.79,27.12,25.76,26.7,15303700,0.0,0
2015-10-15,26.75,27.31,26.47,26.77,13151200,0.0,0
2015-10-16,26.85,27.44,26.78,27.18,11209900,0.0,0
2015-10-19,27.27,27.4,26.82,27.14,7367800,0.0,0
2015-10-20,27.02,27.22,26.81,27.1,6620600,0.0,0
2015-10-21,27.26,27.43,26.7,26.75,9657000,0.0,0
2015-10-22,27.06,27.8,27.02,27.71,7672100,0.0,0
2015-10-23,27.96,28.08,27.54,27.9,9544400,0.0,0
2015-10-26,27.92,27.99,27.52,27.77,6185900,0.0,0
2015-10-27,27.63,27.93,27.61,27.75,5206700,0.0,0
2015-10-28,27.93,27.98,27.52,27.98,5425900,0.0,0
2015-10-29,27.53,27.81,26.96,27.01,8179200,0.0,0
2015-10-30,27.3,27.88,27.1,27.68,7529000,0.0,0
2015-11-02,27.77,28.03,27.6,28.0,4752200,0.0,0
2015-11-03,27.84,27.99,27.5,27.81,9419200,0.0,0
2015-11-04,27.73,27.94,27.22,27.35,11056600,0.0,0
2015-11-05,27.49,27.57,26.96,27.04,11970000,0.0,0
2015-11-06,29.71,31.17,29.1,30.79,29306800,0.0,0
2015-11-09,30.48,30.74,30.22,30.65,12314200,0.0,0
2015-11-10,30.25,30.41,29.42,30.06,13806500,0.0,0
2015-11-11,30.08,30.3,29.66,29.77,15497400,0.0,0
2015-11-12,29.7,29.98,29.54,29.66,7277000,0.0,0
2015-11-13,29.69,29.82,28.93,29.08,7323500,0.0,0
2015-11-16,29.46,29.68,29.22,29.66,8607000,0.0,0
2015-11-17,29.74,29.92,29.54,29.66,6426200,0.0,0
2015-11-18,29.79,30.43,29.46,30.39,8755400,0.115,0
2015-11-19,30.5,30.78,30.26,30.48,6351800,0.0,0
2015-11-20,30.71,30.92,30.52,30.75,5993600,0.0,0
2015-11-23,31.0,31.0,30.18,30.29,6063800,0.0,0
2015-11-24,30.29,30.79,30.15,30.53,4885700,0.0,0
2015-11-25,30.47,30.83,30.38,30.49,3457500,0.0,0
2015-11-27,30.55,30.84,30.39,30.75,2174900,0.0,0
2015-11-30,30.78,31.21,30.75,31.07,8181100,0.0,0
2015-12-01,31.34,32.11,31.31,32.08,10237400,0.0,0
2015-12-02,32.13,32.46,31.76,31.83,7356000,0.0,0
2015-12-03,32.09,32.42,31.61,31.76,6166400,0.0,0
2015-12-04,31.76,33.12,31.76,33.06,11468900,0.0,0
2015-12-07,33.05,33.05,32.33,32.43,8339700,0.0,0
2015-12-08,32.03,33.01,31.82,32.87,7862200,0.0,0
2015-12-09,32.86,33.06,31.71,32.04,9316900,0.0,0
2015-12-10,32.14,32.48,32.03,32.3,5914900,0.0,0
2015-12-11,31.98,32.21,31.75,31.82,5683000,0.0,0
2015-12-14,31.85,32.08,31.52,31.9,6897300,0.0,0
2015-12-15,32.26,32.52,32.09,32.29,7682400,0.0,0
2015-12-16,32.36,32.6,32.08,32.49,5908900,0.0,0
2015-12-17,32.54,32.87,31.98,32.0,6354000,0.0,0
2015-12-18,31.77,32.1,31.44,31.48,9897400,0.0,0
2015-12-21,31.82,32.25,31.54,32.22,7105400,0.0,0
2015-12-22,32.32,32.58,32.06,32.25,3250300,0.0,0
2015-12-23,32.3,32.51,32.24,32.38,3063100,0.0,0
2015-12-24,32.28,32.57,32.23,32.49,1311200,0.0,0
2015-12-28,32.15,32.46,31.7,32.46,3550600,0.0,0
2015-12-29,32.48,33.09,32.39,32.99,5091500,0.0,0
2015-12-30,32.96,33.24,32.69,32.7,4508600,0.0,0
2015-12-31,32.66,32.8,32.28,32.28,3713200,0.0,0
2016-01-04,31.63,31.91,31.38,31.71,8951900,0.0,0
2016-01-05,32.3,32.75,31.83,32.21,12256800,0.0,0
2016-01-06,31.69,31.83,30.52,30.88,11233600,0.0,0
2016-01-07,30.11,30.31,29.27,29.66,16132600,0.0,0
2016-01-08,30.04,30.07,28.96,29.02,9961800,0.0,0
2016-01-11,29.05,29.28,28.55,29.07,10234300,0.0,0
2016-01-12,29.59,29.99,29.35,29.56,11733900,0.0,0
2016-01-13,29.79,29.98,28.63,28.66,12041800,0.0,0
2016-01-14,28.07,28.4,27.25,28.08,15005900,0.0,0
2016-01-15,26.96,27.28,26.09,26.55,21036300,0.0,0
2016-01-19,27.1,27.87,26.66,26.77,11428500,0.0,0
2016-01-20,26.26,27.26,25.91,26.92,12029500,0.0,0
2016-01-21,27.21,27.65,26.65,27.23,12036400,0.0,0
2016-01-22,27.75,28.05,27.69,27.87,6449900,0.0,0
2016-01-25,27.86,28.18,27.78,27.84,6768200,0.0,0
2016-01-26,27.9,28.23,27.61,28.11,5698600,0.0,0
2016-01-27,28.07,28.16,27.25,27.78,5792500,0.0,0
2016-01-28,28.0,28.1,26.94,27.47,6919400,0.0,0
2016-01-29,27.71,28.75,27.6,28.69,7762600,0.0,0
2016-02-01,28.66,28.85,28.41,28.7,7247100,0.0,0
2016-02-02,28.4,28.55,27.29,27.48,8547700,0.0,0
2016-02-03,27.7,27.87,26.98,27.62,8169300,0.0,0
2016-02-04,27.66,28.26,27.36,27.63,8703500,0.0,0
2016-02-05,27.44,27.75,25.81,25.89,15010700,0.0,0
2016-02-08,25.5,25.62,24.34,24.7,15221300,0.0,0
2016-02-09,24.41,26.01,24.29,24.97,10634300,0.0,0
2016-02-10,25.12,25.85,24.77,24.91,8395000,0.0,0
2016-02-11,24.27,25.04,24.27,24.78,8503600,0.0,0
2016-02-12,25.17,25.25,24.24,25.2,8520400,0.0,0
2016-02-16,25.56,26.48,25.49,26.44,12133800,0.0,0
2016-02-17,26.77,27.35,26.66,27.09,19286700,0.0,0
2016-02-18,29.32,30.34,29.29,29.42,26716500,0.0,0
2016-02-19,29.27,30.08,29.04,29.82,13140700,0.0,0
2016-02-22,30.25,31.22,30.19,30.87,11241700,0.0,0
2016-02-23,30.63,31.25,30.48,30.95,9234500,0.0,0
2016-02-24,30.82,31.22,29.97,31.17,8421300,0.0,0
2016-02-25,31.28,31.39,30.68,31.24,8740400,0.0,0
2016-02-26,31.38,31.46,30.72,31.03,9049100,0.0,0
2016-02-29,31.07,31.48,30.81,30.83,8083600,0.115,0
2016-03-01,30.91,32.19,30.86,32.19,8717500,0.0,0
2016-03-02,32.02,32.5,31.96,32.38,5845300,0.0,0
